size,delta,device_type,cpu,memory,consumption,timestamp,gpu
10,24,PC,3,19,72,2024-03-19 17:25:23.558419,0
10,24,PC,0,19,69,2024-03-19 17:25:23.585073,0
10,24,PC,3,19,72,2024-03-19 17:25:23.610825,0
10,23,PC,5,19,74,2024-03-19 17:25:23.636660,0
10,23,PC,3,19,72,2024-03-19 17:25:23.661390,0
10,24,PC,0,19,69,2024-03-19 17:25:23.686936,0
10,23,PC,3,19,72,2024-03-19 17:25:23.712807,0
10,25,PC,0,19,69,2024-03-19 17:25:23.740153,0
10,24,PC,3,19,72,2024-03-19 17:25:23.766973,0
10,25,PC,5,19,74,2024-03-19 17:25:23.794007,0
10,25,PC,3,19,72,2024-03-19 17:25:23.821161,0
10,24,PC,6,19,74,2024-03-19 17:25:23.846815,0
10,23,PC,6,19,74,2024-03-19 17:25:23.872666,0
10,23,PC,6,19,74,2024-03-19 17:25:23.897944,0
10,23,PC,3,19,72,2024-03-19 17:25:23.923151,0
10,25,PC,5,19,74,2024-03-19 17:25:23.950526,0
10,24,PC,3,19,72,2024-03-19 17:25:23.977438,0
10,24,PC,0,19,69,2024-03-19 17:25:24.003833,0
10,23,PC,6,19,74,2024-03-19 17:25:24.029421,0
10,22,PC,0,19,69,2024-03-19 17:25:24.054202,0
10,23,PC,5,19,74,2024-03-19 17:25:24.078372,0
10,23,PC,0,19,69,2024-03-19 17:25:24.103476,0
10,24,PC,3,19,72,2024-03-19 17:25:24.129861,0
10,25,PC,5,19,74,2024-03-19 17:25:24.156978,0
10,23,PC,3,19,72,2024-03-19 17:25:24.182962,0
10,25,PC,6,19,74,2024-03-19 17:25:24.209997,0
10,23,PC,9,19,77,2024-03-19 17:25:24.235572,0
10,24,PC,3,19,72,2024-03-19 17:25:24.261458,0
10,23,PC,0,19,69,2024-03-19 17:25:24.286572,0
10,23,PC,6,19,74,2024-03-19 17:25:24.311902,0
10,23,PC,6,19,74,2024-03-19 17:25:24.336905,0
10,24,PC,3,19,72,2024-03-19 17:25:24.363780,0
10,24,PC,6,19,74,2024-03-19 17:25:24.389860,0
10,24,PC,0,19,69,2024-03-19 17:25:24.416244,0
10,25,PC,3,19,72,2024-03-19 17:25:24.443584,0
10,22,PC,0,19,69,2024-03-19 17:25:24.468206,0
10,23,PC,6,19,74,2024-03-19 17:25:24.493212,0
10,22,PC,0,19,69,2024-03-19 17:25:24.519196,0
10,23,PC,0,19,69,2024-03-19 17:25:24.545010,0
10,25,PC,6,19,74,2024-03-19 17:25:24.572017,0
10,24,PC,0,19,69,2024-03-19 17:25:24.598463,0
10,24,PC,6,19,74,2024-03-19 17:25:24.624658,0
10,23,PC,0,19,69,2024-03-19 17:25:24.650462,0
10,22,PC,6,19,74,2024-03-19 17:25:24.675148,0
10,23,PC,6,19,74,2024-03-19 17:25:24.700397,0
10,22,PC,0,19,69,2024-03-19 17:25:24.724827,0
10,26,PC,3,19,72,2024-03-19 17:25:24.753046,0
10,23,PC,0,19,69,2024-03-19 17:25:24.779049,0
10,24,PC,3,19,72,2024-03-19 17:25:24.805841,0
10,24,PC,0,19,69,2024-03-19 17:25:24.831601,0
10,24,PC,0,19,69,2024-03-19 17:25:24.857828,0
10,24,PC,6,19,74,2024-03-19 17:25:24.883835,0
10,22,PC,3,19,72,2024-03-19 17:25:24.908395,0
10,23,PC,5,19,74,2024-03-19 17:25:24.932890,0
10,24,PC,3,19,72,2024-03-19 17:25:24.959478,0
10,23,PC,3,19,72,2024-03-19 17:25:24.985269,0
10,25,PC,6,19,74,2024-03-19 17:25:25.012604,0
10,24,PC,6,19,74,2024-03-19 17:25:25.038577,0
10,25,PC,3,19,72,2024-03-19 17:25:25.066078,0
10,23,PC,0,19,69,2024-03-19 17:25:25.090691,0
10,23,PC,0,19,69,2024-03-19 17:25:25.115805,0
10,22,PC,5,19,74,2024-03-19 17:25:25.140542,0
10,23,PC,0,19,69,2024-03-19 17:25:25.165707,0
10,24,PC,3,19,72,2024-03-19 17:25:25.192333,0
10,24,PC,5,19,74,2024-03-19 17:25:25.218840,0
