batch_size,delta,device_type,cpu,memory,consumption,timestamp,gpu
10,39,Laptop,7,78,19,2024-03-19 17:51:29.025992,0
10,32,Laptop,12,78,19,2024-03-19 17:51:29.058533,0
10,31,Laptop,6,78,19,2024-03-19 17:51:29.090025,0
10,34,Laptop,9,78,19,2024-03-19 17:51:29.124732,0
10,38,Laptop,8,78,19,2024-03-19 17:51:29.163205,0
10,32,Laptop,9,78,19,2024-03-19 17:51:29.196321,0
10,31,Laptop,7,78,19,2024-03-19 17:51:29.228279,0
10,31,Laptop,7,78,19,2024-03-19 17:51:29.260033,0
10,34,Laptop,9,78,19,2024-03-19 17:51:29.295167,0
10,34,Laptop,7,78,19,2024-03-19 17:51:29.329792,0
10,36,Laptop,11,78,19,2024-03-19 17:51:29.367085,0
10,36,Laptop,6,78,19,2024-03-19 17:51:29.404540,0
10,37,Laptop,6,78,19,2024-03-19 17:51:29.442501,0
10,32,Laptop,7,78,19,2024-03-19 17:51:29.475329,0
10,32,Laptop,10,78,19,2024-03-19 17:51:29.507990,0
10,37,Laptop,10,78,19,2024-03-19 17:51:29.545527,0
10,33,Laptop,10,78,19,2024-03-19 17:51:29.579385,0
10,32,Laptop,7,78,19,2024-03-19 17:51:29.612251,0
10,43,Laptop,7,78,19,2024-03-19 17:51:29.656197,0
10,32,Laptop,5,78,19,2024-03-19 17:51:29.689691,0
10,44,Laptop,11,78,19,2024-03-19 17:51:29.734365,0
10,53,Laptop,10,78,19,2024-03-19 17:51:29.788934,0
10,37,Laptop,6,78,19,2024-03-19 17:51:29.826769,0
10,32,Laptop,5,78,19,2024-03-19 17:51:29.859955,0
10,31,Laptop,9,78,19,2024-03-19 17:51:29.892036,0
10,33,Laptop,5,78,19,2024-03-19 17:51:29.925765,0
10,38,Laptop,13,78,19,2024-03-19 17:51:29.965094,0
10,37,Laptop,20,78,20,2024-03-19 17:51:30.002698,0
10,35,Laptop,15,78,19,2024-03-19 17:51:30.039153,0
10,33,Laptop,9,78,19,2024-03-19 17:51:30.073461,0
10,30,Laptop,8,78,19,2024-03-19 17:51:30.104287,0
10,31,Laptop,8,78,19,2024-03-19 17:51:30.136040,0
10,34,Laptop,7,78,19,2024-03-19 17:51:30.170615,0
10,36,Laptop,8,78,19,2024-03-19 17:51:30.207309,0
10,33,Laptop,9,78,19,2024-03-19 17:51:30.241155,0
10,32,Laptop,7,78,19,2024-03-19 17:51:30.273912,0
10,31,Laptop,6,78,19,2024-03-19 17:51:30.305740,0
