delta,isentropic,data_size,fig_size,device_type,cpu,memory,consumption,timestamp,gpu
20,10,5,20,Laptop,6,31,19,2024-03-21 15:15:20.681421,0
20,10,5,20,Laptop,6,31,19,2024-03-21 15:15:20.885626,0
20,10,5,20,Laptop,6,31,19,2024-03-21 15:15:21.090179,0
19,10,5,20,Laptop,6,31,19,2024-03-21 15:15:21.289843,0
20,10,5,20,Laptop,6,32,19,2024-03-21 15:15:21.494455,0
23,10,5,50,Laptop,6,32,19,2024-03-21 15:15:21.725125,0
24,10,5,50,Laptop,8,32,19,2024-03-21 15:15:21.972160,0
24,10,5,50,Laptop,6,32,19,2024-03-21 15:15:22.218684,0
23,10,5,50,Laptop,6,32,19,2024-03-21 15:15:22.455175,0
23,10,5,50,Laptop,7,32,19,2024-03-21 15:15:22.693387,0
24,10,5,50,Laptop,7,33,19,2024-03-21 15:15:22.934405,0
24,10,5,50,Laptop,7,33,19,2024-03-21 15:15:23.178018,0
23,10,5,50,Laptop,6,33,19,2024-03-21 15:15:23.414772,0
23,10,5,50,Laptop,6,33,19,2024-03-21 15:15:23.645793,0
23,10,5,50,Laptop,6,33,19,2024-03-21 15:15:23.879734,0
27,10,5,80,Laptop,6,34,19,2024-03-21 15:15:24.159619,0
27,10,5,80,Laptop,6,35,19,2024-03-21 15:15:24.439085,0
29,10,5,80,Laptop,6,35,19,2024-03-21 15:15:24.732410,0
28,10,5,80,Laptop,7,35,19,2024-03-21 15:15:25.016697,0
27,10,5,80,Laptop,6,36,19,2024-03-21 15:15:25.296399,0
28,10,5,80,Laptop,7,36,19,2024-03-21 15:15:25.583444,0
27,10,5,80,Laptop,6,37,19,2024-03-21 15:15:25.858774,0
28,10,5,80,Laptop,6,37,19,2024-03-21 15:15:26.145673,0
28,10,5,80,Laptop,6,37,19,2024-03-21 15:15:26.429706,0
27,10,5,80,Laptop,6,38,19,2024-03-21 15:15:26.706498,0
22,10,10,1,Laptop,6,37,19,2024-03-21 15:15:26.928302,0
21,10,10,1,Laptop,6,37,19,2024-03-21 15:15:27.141180,0
21,10,10,1,Laptop,7,37,19,2024-03-21 15:15:27.352226,0
39,10,10,1,Laptop,6,31,19,2024-03-21 15:15:27.750877,0
21,10,10,1,Laptop,6,31,19,2024-03-21 15:15:27.963152,0
21,10,10,1,Laptop,6,31,19,2024-03-21 15:15:28.175264,0
21,10,10,1,Laptop,7,31,19,2024-03-21 15:15:28.388424,0
21,10,10,1,Laptop,6,31,19,2024-03-21 15:15:28.603250,0
21,10,10,1,Laptop,7,31,19,2024-03-21 15:15:28.815992,0
21,10,10,1,Laptop,6,31,19,2024-03-21 15:15:29.028935,0
21,10,10,10,Laptop,6,31,19,2024-03-21 15:15:29.244605,0
21,10,10,10,Laptop,6,31,19,2024-03-21 15:15:29.457331,0
21,10,10,10,Laptop,6,31,19,2024-03-21 15:15:29.670746,0
21,10,10,10,Laptop,6,31,19,2024-03-21 15:15:29.889028,0
21,10,10,10,Laptop,6,31,19,2024-03-21 15:15:30.108998,0
21,10,10,10,Laptop,6,31,19,2024-03-21 15:15:30.326249,0
21,10,10,10,Laptop,6,31,19,2024-03-21 15:15:30.540523,0
21,10,10,10,Laptop,6,31,19,2024-03-21 15:15:30.755639,0
21,10,10,10,Laptop,6,31,19,2024-03-21 15:15:30.970240,0
21,10,10,10,Laptop,6,31,19,2024-03-21 15:15:31.184516,0
21,10,10,20,Laptop,6,31,19,2024-03-21 15:15:31.398257,0
21,10,10,20,Laptop,6,31,19,2024-03-21 15:15:31.613269,0
21,10,10,20,Laptop,6,31,19,2024-03-21 15:15:31.829299,0
21,10,10,20,Laptop,6,31,19,2024-03-21 15:15:32.045835,0
21,10,10,20,Laptop,6,31,19,2024-03-21 15:15:32.263786,0
21,10,10,20,Laptop,6,31,19,2024-03-21 15:15:32.477752,0
21,10,10,20,Laptop,6,31,19,2024-03-21 15:15:32.695946,0
22,10,10,20,Laptop,6,31,19,2024-03-21 15:15:32.922686,0
21,10,10,20,Laptop,6,31,19,2024-03-21 15:15:33.141998,0
22,10,10,20,Laptop,6,31,19,2024-03-21 15:15:33.362545,0
25,10,10,50,Laptop,6,32,19,2024-03-21 15:15:33.613146,0
24,10,10,50,Laptop,6,32,19,2024-03-21 15:15:33.861447,0
25,10,10,50,Laptop,6,32,19,2024-03-21 15:15:34.116332,0
25,10,10,50,Laptop,6,32,19,2024-03-21 15:15:34.370365,0
24,10,10,50,Laptop,6,33,19,2024-03-21 15:15:34.617200,0
25,10,10,50,Laptop,6,33,19,2024-03-21 15:15:34.870378,0
25,10,10,50,Laptop,7,33,19,2024-03-21 15:15:35.126017,0
25,10,10,50,Laptop,6,33,19,2024-03-21 15:15:35.382952,0
25,10,10,50,Laptop,6,33,19,2024-03-21 15:15:35.636261,0
24,10,10,50,Laptop,6,33,19,2024-03-21 15:15:35.882781,0
30,10,10,80,Laptop,6,34,19,2024-03-21 15:15:36.186422,0
30,10,10,80,Laptop,6,34,19,2024-03-21 15:15:36.494671,0
29,10,10,80,Laptop,6,34,19,2024-03-21 15:15:36.793720,0
47,10,10,80,Laptop,6,32,19,2024-03-21 15:15:37.269230,0
29,10,10,80,Laptop,6,33,19,2024-03-21 15:15:37.562483,0
29,10,10,80,Laptop,6,34,19,2024-03-21 15:15:37.855021,0
30,10,10,80,Laptop,7,34,19,2024-03-21 15:15:38.161732,0
31,10,10,80,Laptop,6,34,19,2024-03-21 15:15:38.475943,0
29,10,10,80,Laptop,6,34,19,2024-03-21 15:15:38.773827,0
30,10,10,80,Laptop,7,34,19,2024-03-21 15:15:39.080895,0
24,10,20,1,Laptop,6,34,19,2024-03-21 15:15:39.323545,0
24,10,20,1,Laptop,6,34,19,2024-03-21 15:15:39.566154,0
24,10,20,1,Laptop,6,34,19,2024-03-21 15:15:39.810233,0
25,10,20,1,Laptop,7,34,19,2024-03-21 15:15:40.068292,0
25,10,20,1,Laptop,6,34,19,2024-03-21 15:15:40.320185,0
24,10,20,1,Laptop,6,34,19,2024-03-21 15:15:40.570456,0
24,10,20,1,Laptop,6,34,19,2024-03-21 15:15:40.816296,0
24,10,20,1,Laptop,7,34,19,2024-03-21 15:15:41.063874,0
24,10,20,1,Laptop,6,34,19,2024-03-21 15:15:41.312305,0
25,10,20,1,Laptop,6,34,19,2024-03-21 15:15:41.563763,0
24,10,20,10,Laptop,6,34,19,2024-03-21 15:15:41.810007,0
24,10,20,10,Laptop,7,34,19,2024-03-21 15:15:42.056390,0
24,10,20,10,Laptop,6,34,19,2024-03-21 15:15:42.303632,0
24,10,20,10,Laptop,6,34,19,2024-03-21 15:15:42.548116,0
24,10,20,10,Laptop,7,34,19,2024-03-21 15:15:42.795962,0
24,10,20,10,Laptop,7,34,19,2024-03-21 15:15:43.045131,0
25,10,20,10,Laptop,7,34,19,2024-03-21 15:15:43.298048,0
25,10,20,10,Laptop,7,34,19,2024-03-21 15:15:43.554626,0
25,10,20,10,Laptop,8,34,19,2024-03-21 15:15:43.811837,0
27,10,20,10,Laptop,8,34,19,2024-03-21 15:15:44.082690,0
26,10,20,20,Laptop,6,34,19,2024-03-21 15:15:44.346815,0
26,10,20,20,Laptop,8,34,19,2024-03-21 15:15:44.609869,0
27,10,20,20,Laptop,7,34,19,2024-03-21 15:15:44.881220,0
27,10,20,20,Laptop,7,34,19,2024-03-21 15:15:45.152342,0
27,10,20,20,Laptop,7,35,19,2024-03-21 15:15:45.428561,0
28,10,20,20,Laptop,9,35,19,2024-03-21 15:15:45.714844,0
32,10,20,20,Laptop,15,35,19,2024-03-21 15:15:46.042095,0
53,10,20,20,Laptop,44,35,21,2024-03-21 15:15:46.575923,0
74,10,20,20,Laptop,46,35,22,2024-03-21 15:15:47.318408,0
44,10,20,20,Laptop,11,35,19,2024-03-21 15:15:47.761838,0
34,10,20,50,Laptop,7,35,19,2024-03-21 15:15:48.109136,0
32,10,20,50,Laptop,6,35,19,2024-03-21 15:15:48.435169,0
31,10,20,50,Laptop,11,36,19,2024-03-21 15:15:48.753956,0
40,10,20,50,Laptop,15,36,19,2024-03-21 15:15:49.156970,0
75,10,20,50,Laptop,16,32,19,2024-03-21 15:15:49.909911,0
53,10,20,50,Laptop,24,32,20,2024-03-21 15:15:50.442605,0
47,10,20,50,Laptop,10,32,19,2024-03-21 15:15:50.919343,0
36,10,20,50,Laptop,14,33,19,2024-03-21 15:15:51.287916,0
49,10,20,50,Laptop,15,33,19,2024-03-21 15:15:51.780337,0
38,10,20,50,Laptop,10,33,19,2024-03-21 15:15:52.170150,0
57,10,20,80,Laptop,20,34,20,2024-03-21 15:15:52.747590,0
69,10,20,80,Laptop,24,35,20,2024-03-21 15:15:53.448379,0
63,10,20,80,Laptop,17,35,19,2024-03-21 15:15:54.080187,0
50,10,20,80,Laptop,11,35,19,2024-03-21 15:15:54.590663,0
56,10,20,80,Laptop,16,36,19,2024-03-21 15:15:55.158272,0
59,10,20,80,Laptop,16,36,19,2024-03-21 15:15:55.757580,0
54,10,20,80,Laptop,18,37,20,2024-03-21 15:15:56.299432,0
59,10,20,80,Laptop,17,38,19,2024-03-21 15:15:56.894649,0
42,10,20,80,Laptop,6,38,19,2024-03-21 15:15:57.317734,0
34,10,20,80,Laptop,6,38,19,2024-03-21 15:15:57.665052,0
27,10,30,1,Laptop,6,38,19,2024-03-21 15:15:57.938807,0
28,10,30,1,Laptop,7,38,19,2024-03-21 15:15:58.223186,0
28,10,30,1,Laptop,7,38,19,2024-03-21 15:15:58.504897,0
28,10,30,1,Laptop,7,38,19,2024-03-21 15:15:58.785468,0
28,10,30,1,Laptop,7,38,19,2024-03-21 15:15:59.068995,0
28,10,30,1,Laptop,6,38,19,2024-03-21 15:15:59.350359,0
28,10,30,1,Laptop,6,38,19,2024-03-21 15:15:59.631085,0
27,10,30,1,Laptop,6,38,19,2024-03-21 15:15:59.907293,0
27,10,30,1,Laptop,6,38,19,2024-03-21 15:16:00.182020,0
28,10,30,1,Laptop,6,38,19,2024-03-21 15:16:00.465601,0
28,10,30,10,Laptop,7,38,19,2024-03-21 15:16:00.749453,0
28,10,30,10,Laptop,7,38,19,2024-03-21 15:16:01.031526,0
40,10,30,10,Laptop,15,38,19,2024-03-21 15:16:01.435289,0
49,10,30,10,Laptop,20,38,20,2024-03-21 15:16:01.928351,0
49,10,30,10,Laptop,17,38,19,2024-03-21 15:16:02.425041,0
48,10,30,10,Laptop,13,38,19,2024-03-21 15:16:02.911978,0
36,10,30,10,Laptop,7,38,19,2024-03-21 15:16:03.276596,0
32,10,30,10,Laptop,6,38,19,2024-03-21 15:16:03.599589,0
30,10,30,10,Laptop,6,38,19,2024-03-21 15:16:03.901969,0
28,10,30,10,Laptop,7,38,19,2024-03-21 15:16:04.192428,0
29,10,30,20,Laptop,6,38,19,2024-03-21 15:16:04.483846,0
30,10,30,20,Laptop,6,38,19,2024-03-21 15:16:04.790108,0
29,10,30,20,Laptop,7,38,19,2024-03-21 15:16:05.084740,0
