delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction,energy,consumption_all,delta_privacy
39,35,1080,Orin,25,72,6,80,False,104,14,26,26,45
35,15,720,Orin,25,72,6,30,True,89,7,14,14,34
41,15,1080,Orin,17,71,6,30,True,104,10,14,14,43
34,20,720,Orin,23,72,6,40,True,91,8,14,14,37
43,25,1080,Orin,21,72,6,65,False,108,12,22,22,45
38,35,480,Orin,29,72,6,80,False,92,10,26,26,34
41,35,720,Orin,25,72,6,80,False,97,11,26,26,36
38,35,1080,Orin,26,72,6,80,False,100,14,26,26,42
29,30,480,Orin,29,72,6,75,True,80,9,26,26,31
34,30,720,Orin,33,72,6,75,False,92,10,26,26,38
47,30,1080,Orin,20,72,6,75,False,111,13,26,26,44
37,25,720,Orin,32,72,6,65,True,94,9,22,22,37
47,25,1080,Orin,25,72,6,65,False,111,12,22,22,44
44,20,1080,Orin,22,72,6,40,True,106,11,14,14,42
32,20,480,Orin,25,72,6,40,True,83,7,14,14,31
31,20,480,Orin,28,72,6,40,True,82,7,14,14,31
41,15,1080,Orin,21,71,6,30,True,105,10,14,14,44
36,15,720,Orin,21,72,6,30,True,91,7,14,14,35
28,15,480,Orin,14,72,6,30,True,78,6,14,14,30
46,20,1080,Orin,20,72,6,40,True,111,11,14,14,45
31,25,480,Orin,31,72,6,65,True,82,8,22,22,31
34,35,720,Orin,32,72,6,80,False,90,11,26,26,36
41,15,1080,Orin,19,71,6,30,True,105,10,14,14,44
43,20,1080,Orin,25,72,6,40,True,104,11,14,14,41
42,15,1080,Orin,24,71,6,30,True,106,10,14,14,44
32,20,720,Orin,26,72,6,40,True,87,8,14,14,35
45,25,1080,Orin,23,72,6,65,False,109,12,22,22,44
49,30,1080,Orin,24,72,6,75,False,113,13,26,26,44
41,35,720,Orin,24,72,6,80,False,97,11,26,26,36
45,35,1080,Orin,32,72,6,80,False,109,14,26,26,44
30,20,480,Orin,18,72,6,40,True,79,7,14,14,29
30,25,480,Orin,21,72,6,65,True,82,8,22,22,32
28,30,480,Orin,28,72,6,75,True,81,9,26,26,33
32,25,480,Orin,26,72,6,65,True,85,8,22,22,33
35,25,720,Orin,27,72,6,65,True,90,9,22,22,35
33,30,720,Orin,30,72,6,75,True,89,10,26,26,36
33,20,720,Orin,23,72,6,40,True,89,8,14,14,36
31,35,720,Orin,32,72,6,80,False,88,11,26,26,37
46,35,1080,Orin,25,72,6,80,False,108,14,26,26,42
42,35,720,Orin,29,72,6,80,False,99,11,26,26,37
46,30,1080,Orin,21,72,6,75,False,111,13,26,26,45
45,25,1080,Orin,27,72,6,65,False,107,12,22,22,42
31,25,480,Orin,25,72,6,65,True,80,8,22,22,29
34,35,480,Orin,27,72,6,80,False,88,10,26,26,34
29,35,480,Orin,26,72,6,80,False,80,10,26,26,31
30,20,480,Orin,25,72,6,40,True,80,7,14,14,30
38,35,720,Orin,28,72,6,80,False,95,11,26,26,37
35,30,480,Orin,25,72,6,75,False,84,9,26,26,29
33,35,720,Orin,30,72,6,80,False,89,11,26,26,36
32,15,720,Orin,20,72,6,30,True,88,7,14,14,36
30,20,480,Orin,23,72,6,40,True,82,7,14,14,32
44,25,1080,Orin,31,72,6,65,False,108,12,22,22,44
36,20,720,Orin,26,72,6,40,True,93,8,14,14,37
36,35,480,Orin,29,72,6,80,False,86,10,26,26,30
44,30,1080,Orin,25,72,6,75,False,107,13,26,26,43
45,20,1080,Orin,25,72,6,40,True,109,11,14,14,44
45,35,1080,Orin,23,72,6,80,False,110,14,26,26,45
48,30,1080,Orin,27,72,6,75,False,113,13,26,26,45
45,25,1080,Orin,21,72,6,65,False,112,12,22,22,47
29,15,480,Orin,20,72,6,30,True,78,6,14,14,29
45,30,1080,Orin,31,72,6,75,False,107,13,26,26,42
30,25,480,Orin,22,72,6,65,True,83,8,22,22,33
30,20,480,Orin,26,72,6,40,True,81,7,14,14,31
40,35,1080,Orin,28,72,6,80,False,102,14,26,26,42
33,15,720,Orin,22,72,6,30,True,87,7,14,14,34
51,35,1080,Orin,22,72,6,80,False,116,14,26,26,45
40,15,1080,Orin,17,71,6,30,True,102,10,14,14,42
33,35,720,Orin,31,72,6,80,False,89,11,26,26,36
40,15,1080,Orin,20,71,6,30,True,104,10,14,14,44
31,30,480,Orin,33,72,6,75,True,81,9,26,26,30
33,35,480,Orin,25,72,6,80,False,89,10,26,26,36
32,30,720,Orin,32,72,6,75,True,87,10,26,26,35
35,20,720,Orin,25,72,6,40,True,90,8,14,14,35
35,30,720,Orin,33,72,6,75,False,92,10,26,26,37
34,20,720,Orin,25,72,6,40,True,90,8,14,14,36
45,35,1080,Orin,27,72,6,80,False,108,14,26,26,43
39,15,1080,Orin,22,71,6,30,True,105,10,14,14,46
37,30,720,Orin,36,72,6,75,False,93,10,26,26,36
37,35,720,Orin,31,72,6,80,False,94,11,26,26,37
31,20,480,Orin,31,72,6,40,True,83,7,14,14,32
33,30,480,Orin,27,72,6,75,True,82,9,26,26,29
44,20,1080,Orin,21,72,6,40,True,108,11,14,14,44
29,35,480,Orin,32,72,6,80,False,79,10,26,26,30
37,30,720,Orin,31,72,6,75,False,93,10,26,26,36
29,35,480,Orin,34,72,6,80,False,82,10,26,26,33
42,30,720,Orin,45,72,7,75,False,99,10,27,27,37
45,35,1080,Orin,28,72,6,80,False,109,14,26,26,44
31,20,480,Orin,18,72,6,40,True,82,7,14,14,31
30,20,480,Orin,25,72,6,40,True,81,7,14,14,31
33,25,480,Orin,21,72,6,65,True,89,8,22,22,36
45,30,1080,Orin,28,72,6,75,False,109,13,26,26,44
33,20,720,Orin,30,72,6,40,True,89,8,14,14,36
40,25,1080,Orin,29,72,6,65,True,106,12,22,22,46
37,30,720,Orin,35,72,6,75,False,94,10,26,26,37
40,15,1080,Orin,19,71,6,30,True,105,10,14,14,45
37,30,720,Orin,51,72,7,75,False,92,10,27,27,35
37,25,720,Orin,27,72,6,65,True,94,9,22,22,37
34,20,720,Orin,26,72,6,40,True,90,8,14,14,36
31,35,480,Orin,30,72,6,80,False,85,10,26,26,34
29,15,480,Orin,20,72,6,30,True,79,6,14,14,30
34,25,480,Orin,25,72,6,65,True,84,8,22,22,30
36,30,720,Orin,26,72,6,75,False,95,10,26,26,39
48,20,1080,Orin,40,72,6,40,True,112,11,14,14,44
37,30,720,Orin,26,72,6,75,False,93,10,26,26,36
29,15,480,Orin,20,72,6,30,True,78,6,14,14,29
30,25,480,Orin,27,72,6,65,True,84,8,22,22,34
33,30,720,Orin,33,72,6,75,True,89,10,26,26,36
35,20,720,Orin,20,72,6,40,True,91,8,14,14,36
36,15,720,Orin,20,72,6,30,True,90,7,14,14,34
34,35,480,Orin,33,72,6,80,False,84,10,26,26,30
33,30,480,Orin,29,72,6,75,True,87,9,26,26,34
44,30,1080,Orin,27,72,6,75,False,109,13,26,26,45
43,25,1080,Orin,26,72,6,65,False,107,12,22,22,44
34,25,480,Orin,25,72,6,65,True,84,8,22,22,30
47,25,1080,Orin,27,72,6,65,False,110,12,22,22,43
43,35,1080,Orin,22,72,6,80,False,105,14,26,26,42
30,20,480,Orin,23,72,6,40,True,81,7,14,14,31
44,25,1080,Orin,18,72,6,65,False,107,12,22,22,43
30,20,480,Orin,28,72,6,40,True,80,7,14,14,30
34,35,480,Orin,28,72,6,80,False,85,10,26,26,31
41,15,720,Orin,19,72,6,30,True,95,7,14,14,34
29,20,480,Orin,19,72,6,40,True,80,7,14,14,31
45,25,1080,Orin,22,72,6,65,False,109,12,22,22,44
45,20,1080,Orin,25,72,6,40,True,108,11,14,14,43
32,20,480,Orin,24,72,6,40,True,83,7,14,14,31
45,20,1080,Orin,24,72,6,40,True,108,11,14,14,43
37,30,720,Orin,30,72,6,75,False,94,10,26,26,37
44,25,1080,Orin,26,72,6,65,False,109,12,22,22,45
36,15,720,Orin,23,72,6,30,True,90,7,14,14,34
46,25,1080,Orin,24,72,6,65,False,108,12,22,22,42
30,35,480,Orin,28,72,6,80,False,86,10,26,26,36
35,30,480,Orin,30,72,6,75,False,90,9,26,26,35
31,20,480,Orin,24,72,6,40,True,81,7,14,14,30
32,25,720,Orin,27,72,6,65,True,89,9,22,22,37
44,20,1080,Orin,28,72,6,40,True,111,11,14,14,47
39,35,720,Orin,29,72,6,80,False,95,11,26,26,36
40,15,1080,Orin,20,71,6,30,True,105,10,14,14,45
36,15,720,Orin,16,72,6,30,True,90,7,14,14,34
33,20,720,Orin,27,72,6,40,True,90,8,14,14,37
30,20,480,Orin,27,72,6,40,True,81,7,14,14,31
47,25,1080,Orin,29,72,6,65,False,110,12,22,22,43
35,30,480,Orin,28,72,6,75,False,86,9,26,26,31
39,35,720,Orin,35,72,6,80,False,95,11,26,26,36
33,30,480,Orin,29,72,6,75,True,84,9,26,26,31
41,15,1080,Orin,15,71,6,30,True,105,10,14,14,44
46,20,1080,Orin,31,72,6,40,True,109,11,14,14,43
45,20,1080,Orin,22,72,6,40,True,110,11,14,14,45
42,35,1080,Orin,27,72,6,80,False,105,14,26,26,43
35,30,480,Orin,23,72,6,75,False,85,9,26,26,30
46,20,1080,Orin,26,72,6,40,True,110,11,14,14,44
38,20,720,Orin,27,72,6,40,True,95,8,14,14,37
44,20,1080,Orin,30,72,6,40,True,105,11,14,14,41
34,15,720,Orin,18,72,6,30,True,87,7,14,14,33
34,30,720,Orin,31,72,6,75,False,90,10,26,26,36
49,35,1080,Orin,27,72,6,80,False,112,14,26,26,43
31,20,480,Orin,23,72,6,40,True,84,7,14,14,33
29,20,480,Orin,18,72,6,40,True,81,7,14,14,32
46,20,1080,Orin,26,72,6,40,True,107,11,14,14,41
44,20,1080,Orin,21,72,6,40,True,107,11,14,14,43
36,25,720,Orin,25,72,6,65,True,93,9,22,22,37
45,15,1080,Orin,20,71,6,30,True,107,10,14,14,42
40,30,720,Orin,27,72,6,75,False,96,10,26,26,36
38,25,720,Orin,25,72,6,65,True,94,9,22,22,36
40,15,1080,Orin,18,71,6,30,True,104,10,14,14,44
43,20,1080,Orin,18,72,6,40,True,107,11,14,14,44
31,25,480,Orin,24,72,6,65,True,81,8,22,22,30
36,25,720,Orin,26,72,6,65,True,93,9,22,22,37
