delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction,energy,consumption_gpu,delta_privacy
47,25,1080,Orin,23,72,6,65,False,111,1080,10,10,44
45,20,1080,Orin,33,72,6,40,True,110,1080,8,8,45
39,30,1080,Orin,23,72,6,75,False,103,1080,11,11,44
42,15,1080,Orin,22,71,6,30,True,106,1080,8,8,44
32,30,720,Orin,54,72,7,75,True,88,720,12,12,36
39,35,720,Orin,25,72,6,80,False,95,720,11,11,36
44,25,1080,Orin,28,72,6,65,False,106,1080,10,10,42
33,15,720,Orin,18,72,6,30,True,86,720,8,8,33
32,30,480,Orin,29,72,6,75,True,89,480,11,11,37
34,15,720,Orin,20,72,6,30,True,86,720,8,8,32
49,25,1080,Orin,27,72,6,65,False,113,1080,10,10,44
47,25,1080,Orin,25,72,6,65,False,111,1080,10,10,44
32,25,480,Orin,29,72,6,65,True,82,480,10,10,30
33,25,720,Orin,27,72,6,65,True,90,720,10,10,37
33,15,720,Orin,22,72,6,30,True,86,720,8,8,33
35,30,480,Orin,27,72,6,75,False,85,480,11,11,30
30,15,480,Orin,13,72,6,30,True,78,480,8,8,28
46,25,1080,Orin,25,72,6,65,False,111,1080,10,10,45
34,20,720,Orin,22,72,6,40,True,89,720,8,8,35
37,25,720,Orin,25,72,6,65,True,92,720,10,10,35
37,30,720,Orin,35,72,6,75,False,93,720,11,11,36
42,15,1080,Orin,20,71,6,30,True,105,1080,8,8,43
31,30,480,Orin,30,72,6,75,True,85,480,11,11,34
33,15,720,Orin,20,72,6,30,True,85,720,8,8,32
43,25,1080,Orin,27,72,6,65,False,107,1080,10,10,44
37,25,720,Orin,27,72,6,65,True,93,720,10,10,36
30,20,480,Orin,26,72,6,40,True,85,480,8,8,35
37,35,720,Orin,35,72,6,80,False,93,720,11,11,36
30,30,480,Orin,34,72,6,75,True,79,480,11,11,29
37,25,720,Orin,27,72,6,65,True,94,720,10,10,37
42,15,1080,Orin,20,71,6,30,True,105,1080,8,8,43
41,15,1080,Orin,17,71,6,30,True,106,1080,8,8,45
45,20,1080,Orin,26,72,6,40,True,109,1080,8,8,44
33,30,720,Orin,28,72,6,75,True,89,720,11,11,36
43,20,1080,Orin,22,72,6,40,True,106,1080,8,8,43
29,20,480,Orin,23,72,6,40,True,80,480,8,8,31
34,20,720,Orin,26,72,6,40,True,90,720,8,8,36
34,15,720,Orin,22,72,6,30,True,87,720,8,8,33
33,20,720,Orin,25,72,6,40,True,90,720,8,8,37
