delta_privacy,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
30,15,480,2024-03-26 09:58:29.551898,Orin,21,74,6,35
30,15,480,2024-03-26 09:58:29.632394,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:29.712668,Orin,15,74,6,35
33,15,480,2024-03-26 09:58:29.795843,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:29.872790,Orin,21,74,6,35
30,15,480,2024-03-26 09:58:29.953212,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:30.032532,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:30.112327,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:30.192642,Orin,14,74,6,35
30,15,480,2024-03-26 09:58:30.273657,Orin,20,74,6,35
32,15,480,2024-03-26 09:58:30.354823,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:30.433734,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:30.513464,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:30.593478,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:30.673293,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:30.752757,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:30.831423,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:30.912969,Orin,17,74,6,35
33,15,480,2024-03-26 09:58:30.996215,Orin,21,74,6,35
31,15,480,2024-03-26 09:58:31.075805,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:31.155931,Orin,22,74,6,35
30,15,480,2024-03-26 09:58:31.236499,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:31.315617,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:31.395430,Orin,18,74,6,35
31,15,480,2024-03-26 09:58:31.475778,Orin,22,74,6,35
30,15,480,2024-03-26 09:58:31.555796,Orin,26,74,6,35
30,15,480,2024-03-26 09:58:31.636612,Orin,18,74,6,35
31,15,480,2024-03-26 09:58:31.716346,Orin,16,74,6,35
30,15,480,2024-03-26 09:58:31.795653,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:31.877050,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:31.957661,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:32.036210,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:32.115212,Orin,20,74,6,35
32,15,480,2024-03-26 09:58:32.198298,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:32.275289,Orin,19,74,6,35
31,15,480,2024-03-26 09:58:32.357650,Orin,29,74,6,35
30,15,480,2024-03-26 09:58:32.435331,Orin,30,74,6,35
30,15,480,2024-03-26 09:58:32.516495,Orin,14,74,6,35
30,15,480,2024-03-26 09:58:32.596078,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:32.676541,Orin,22,74,6,35
30,15,480,2024-03-26 09:58:32.756624,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:32.836620,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:32.915707,Orin,21,74,6,35
31,15,480,2024-03-26 09:58:32.995991,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:33.075283,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:33.155055,Orin,14,74,6,35
30,15,480,2024-03-26 09:58:33.234439,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:33.313583,Orin,18,74,6,35
34,15,480,2024-03-26 09:58:33.396972,Orin,21,74,6,35
30,15,480,2024-03-26 09:58:33.472863,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:33.552458,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:33.632304,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:33.712299,Orin,13,74,6,35
30,15,480,2024-03-26 09:58:33.792103,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:33.872694,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:33.952454,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:34.031235,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:34.111443,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:34.190832,Orin,22,74,6,35
30,15,480,2024-03-26 09:58:34.271085,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:34.351171,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:34.432295,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:34.511298,Orin,19,74,6,35
32,15,480,2024-03-26 09:58:34.592046,Orin,24,74,6,35
30,15,480,2024-03-26 09:58:34.670574,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:34.750185,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:34.830998,Orin,16,74,6,35
30,15,480,2024-03-26 09:58:34.910700,Orin,16,74,6,35
31,15,480,2024-03-26 09:58:34.992068,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:35.070261,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:35.150013,Orin,17,74,6,35
34,15,480,2024-03-26 09:58:35.233167,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:35.309297,Orin,13,74,6,35
30,15,480,2024-03-26 09:58:35.388979,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:35.468625,Orin,16,74,6,35
30,15,480,2024-03-26 09:58:35.549114,Orin,15,74,6,35
33,15,480,2024-03-26 09:58:35.631753,Orin,16,74,6,35
33,15,480,2024-03-26 09:58:35.711216,Orin,18,74,6,35
34,15,480,2024-03-26 09:58:35.792770,Orin,18,74,6,35
33,15,480,2024-03-26 09:58:35.871187,Orin,17,74,6,35
